frame,time_ms,time_us,rpm,vss,gear,ptank,map,bp,bp_cmd,tpedal,tplate,afm_v,afm_hz,afm,afm_c,airc,egr,iat,iat2,ect,ect2,pa,oil_press,cvt_temp,inj,inj_bank_2,duty,difp,difpcmd,fuelp,ign,cam,camcmd,excam,excamcmd,wg,wgcmd,vts,svs,purge,accl,bc_duty,af,af_bank_2,af_corr,wide_v,wide,afcmd,afcmd_bank_2,s_trim,l_trim,s_trim_bank_2,l_trim_bank_2,trim,fuel_status,fuel_status_bank_2,ethanol,k_level,k_retard,k_retard_1,k_retard_2,k_retard_3,k_retard_4,k_control,ign_limit,k_count,k_count_1,k_count_2,k_count_3,k_count_4,k_count_5,k_count_6,bat,cat_t,abs_lf,abs_rf,abs_lr,abs_rr,clutch_pos,brake_press,steer_ang,steer_trq,g_lat,g_long,g_z,yaw,eco,fuel_used,tc_v,tc_ecuslip,tc_r,tc_lf,tc_rf,tc_lr,tc_rr,tc_slip,tc_turn,tc_overslip,tc_out
100020,789583,789583343,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2735,76.317,76.0374,75.9255,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100021,789584,789584350,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0.01,-0.065,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100022,789585,789585357,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.6,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.47,0,1,2063.89,1888.75,15,21,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100023,789608,789608245,3028,75.8075,6,0,-22.8,14.2,-22,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1888.75,13,24,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1270.1,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100024,789633,789633331,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100025,789643,789643341,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100026,789644,789644348,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100027,789645,789645355,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2859,76.2549,75.9504,75.8385,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100028,789646,789646362,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.06,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100029,789647,789647338,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.58,0,9.27,91,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.45,0,1,2063.89,1820.8,13,24,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100030,789670,789670623,3028,75.8075,6,0,-22.8,14.17,-22.1,2,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1820.8,13,12,27,28,-23,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.7,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100031,789702,789702239,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100032,789703,789703338,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
100033,789704,789704345,3028,75.8075,6,0,-22.8,14.17,-22,3,6,1.6,0,8.94,88,14,0,105.8,95,183.2,165.2,14.07,5.21,32,0.52,0,1,2063.89,1725.44,13,12,27,28,-22,-23,8,8,On,Off,0,Off,0,29.4,0,29.4,0,0,29.4,0,0,0,0,0,0,4,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,1269.5,76.2549,76.1617,75.8945,75.7826,0,0.47,0,0,0,-0.075,0,-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0
